,MolecularWeight,LogP,HBD,HBA,TPSA
MolecularWeight,1.0,0.7231206994096279,-0.9001603279345943,0.16092897697251204,-0.4987488110775074
LogP,0.7231206994096279,1.0,-0.841697519850029,-0.5247976812857406,-0.8801955318629331
HBD,-0.9001603279345943,-0.841697519850029,1.0,0.0,0.6598213710977724
HBA,0.16092897697251204,-0.5247976812857406,0.0,1.0,0.5920980519741771
TPSA,-0.4987488110775074,-0.8801955318629331,0.6598213710977724,0.5920980519741771,1.0
